time,date,q,country,unemp_rate,cpi,gdppc,rec_prob
1,1970-01-01,1,US,4.17,38.1,25.973,50.21
2,1970-04-01,2,US,4.77,38.63,25.929,44.23
3,1970-07-01,3,US,5.17,39.03,26.079,58.09
4,1970-10-01,4,US,5.83,39.6,25.71,37.35
5,1971-01-01,1,US,5.93,39.93,26.328,0.69
6,1971-04-01,2,US,5.9,40.3,26.394,0.41
7,1971-07-01,3,US,6.03,40.7,26.529,0.55
8,1971-10-01,4,US,5.93,41,26.51,0.21
9,1972-01-01,1,US,5.77,41.33,26.932,0.27
10,1972-04-01,2,US,5.7,41.6,27.478,0.31
11,1972-07-01,3,US,5.57,41.93,27.666,0.36
12,1972-10-01,4,US,5.37,42.37,28.055,0.23
13,1973-01-01,1,US,4.93,43.03,28.687,0.5
14,1973-04-01,2,US,4.93,43.93,28.935,0.58
15,1973-07-01,3,US,4.8,44.8,28.711,0.44
16,1973-10-01,4,US,4.77,45.93,28.913,13.87
17,1974-01-01,1,US,5.13,47.3,28.606,39.83
18,1974-04-01,2,US,5.2,48.57,28.613,38.82
19,1974-07-01,3,US,5.63,49.93,28.27,74.93
20,1974-10-01,4,US,6.6,51.47,28.088,97.4
21,1975-01-01,1,US,8.27,52.57,27.69,96.63
22,1975-04-01,2,US,8.87,53.2,27.821,6.83
23,1975-07-01,3,US,8.47,54.27,28.214,0.31
24,1975-10-01,4,US,8.3,55.27,28.52,0.21
25,1976-01-01,1,US,7.73,55.9,29.099,0.19
26,1976-04-01,2,US,7.57,56.4,29.25,0.17
27,1976-07-01,3,US,7.73,57.3,29.335,0.23
28,1976-10-01,4,US,7.77,58.13,29.469,0.24
29,1977-01-01,1,US,7.5,59.2,29.749,0.31
30,1977-04-01,2,US,7.13,60.23,30.254,0.15
31,1977-07-01,3,US,6.9,61.07,30.713,0.17
32,1977-10-01,4,US,6.67,61.97,30.626,0.63
33,1978-01-01,1,US,6.33,63.03,30.653,5.05
34,1978-04-01,2,US,6,64.47,31.757,0.29
35,1978-07-01,3,US,6.03,65.97,31.982,0.3
36,1978-10-01,4,US,5.9,67.5,32.318,0.46
37,1979-01-01,1,US,5.87,69.2,32.294,2.27
38,1979-04-01,2,US,5.7,71.4,32.244,12.34
39,1979-07-01,3,US,5.87,73.7,32.386,4.83
40,1979-10-01,4,US,5.97,76.03,32.366,5.65
41,1980-01-01,1,US,6.3,79.03,32.377,48.33
42,1980-04-01,2,US,7.33,81.7,31.621,94.09
43,1980-07-01,3,US,7.67,83.23,31.489,10.9
44,1980-10-01,4,US,7.4,85.57,31.99,0.57
45,1981-01-01,1,US,7.43,87.93,32.55,3.62
46,1981-04-01,2,US,7.4,89.77,32.236,2.63
47,1981-07-01,3,US,7.4,92.27,32.533,44.54
48,1981-10-01,4,US,8.23,93.77,32.095,93.27
49,1982-01-01,1,US,8.83,94.6,31.529,53.93
50,1982-04-01,2,US,9.43,95.97,31.603,71.19
51,1982-07-01,3,US,9.9,97.63,31.402,71.34
52,1982-10-01,4,US,10.67,97.93,31.337,37.18
53,1983-01-01,1,US,10.37,98,31.686,1.13
54,1983-04-01,2,US,10.13,99.13,32.34,0.18
55,1983-07-01,3,US,9.37,100.1,32.906,0.23
56,1983-10-01,4,US,8.53,101.1,33.513,0.18
57,1984-01-01,1,US,7.87,102.53,34.103,0.17
58,1984-04-01,2,US,7.43,103.5,34.622,0.13
59,1984-07-01,3,US,7.43,104.4,34.871,0.31
60,1984-10-01,4,US,7.3,105.3,35.072,0.3
61,1985-01-01,1,US,7.23,106.27,35.346,0.26
62,1985-04-01,2,US,7.3,107.23,35.582,0.45
63,1985-07-01,3,US,7.2,107.9,36.033,0.41
64,1985-10-01,4,US,7.03,109,36.21,0.35
65,1986-01-01,1,US,7.03,109.57,36.476,0.69
66,1986-04-01,2,US,7.17,109.03,36.563,0.45
67,1986-07-01,3,US,6.97,109.7,36.822,0.24
68,1986-10-01,4,US,6.83,110.47,36.931,0.27
69,1987-01-01,1,US,6.6,111.8,37.132,0.5
70,1987-04-01,2,US,6.27,113.07,37.454,0.25
71,1987-07-01,3,US,6,114.27,37.685,0.17
72,1987-10-01,4,US,5.83,115.33,38.238,0.23
73,1988-01-01,1,US,5.7,116.23,38.359,0.39
74,1988-04-01,2,US,5.47,117.57,38.782,0.27
75,1988-07-01,3,US,5.47,119,38.908,0.26
76,1988-10-01,4,US,5.33,120.3,39.328,0.25
77,1989-01-01,1,US,5.2,121.67,39.648,1.03
78,1989-04-01,2,US,5.23,123.63,39.861,1.99
79,1989-07-01,3,US,5.23,124.6,40.046,1.35
80,1989-10-01,4,US,5.37,125.87,40.015,0.8
81,1990-01-01,1,US,5.3,128.03,40.361,0.8
82,1990-04-01,2,US,5.33,129.3,40.382,2.64
83,1990-07-01,3,US,5.7,131.53,40.266,22.03
84,1990-10-01,4,US,6.13,133.77,39.759,61.65
85,1991-01-01,1,US,6.6,134.77,39.451,47.3
86,1991-04-01,2,US,6.83,135.57,39.632,2.1
87,1991-07-01,3,US,6.87,136.6,39.691,0.63
88,1991-10-01,4,US,7.1,137.73,39.694,1.08
89,1992-01-01,1,US,7.37,138.67,40.051,0.49
90,1992-04-01,2,US,7.6,139.73,40.35,0.42
91,1992-07-01,3,US,7.63,140.8,40.599,0.61
92,1992-10-01,4,US,7.37,142.03,40.881,0.36
93,1993-01-01,1,US,7.13,143.07,40.829,0.53
94,1993-04-01,2,US,7.07,144.1,40.942,0.32
95,1993-07-01,3,US,6.8,144.77,40.997,0.23
96,1993-10-01,4,US,6.63,145.97,41.423,0.14
97,1994-01-01,1,US,6.57,146.7,41.713,0.17
98,1994-04-01,2,US,6.2,147.53,42.154,0.17
99,1994-07-01,3,US,6,148.9,42.264,0.13
100,1994-10-01,4,US,5.63,149.77,42.618,0.15
101,1995-01-01,1,US,5.47,150.87,42.654,0.35
102,1995-04-01,2,US,5.67,152.1,42.66,0.37
103,1995-07-01,3,US,5.67,152.87,42.885,0.33
104,1995-10-01,4,US,5.57,153.7,43.044,0.39
105,1996-01-01,1,US,5.53,155.07,43.259,0.29
106,1996-04-01,2,US,5.5,156.4,43.856,0.11
107,1996-07-01,3,US,5.27,157.3,44.105,0.13
108,1996-10-01,4,US,5.33,158.67,44.421,0.1
109,1997-01-01,1,US,5.23,159.63,44.59,0.07
110,1997-04-01,2,US,5,160,45.203,0.14
111,1997-07-01,3,US,4.87,160.8,45.616,0.1
112,1997-10-01,4,US,4.67,161.67,45.862,0.07
113,1998-01-01,1,US,4.63,162,46.204,0.11
114,1998-04-01,2,US,4.4,162.53,46.504,0.33
115,1998-07-01,3,US,4.53,163.37,46.943,0.29
116,1998-10-01,4,US,4.43,164.13,47.555,0.16
