store_id,state_abb,state_name,nj,chain_name,market,company_owned,affected_pct,period,post,nj_after,min_wage,fte_employment,starting_wage,hours_open,soda_price,fries_price,entree_price,registers,registers_11am
1,NJ,New Jersey,1,Burger King,Central NJ,0,0.8,Before,0,0,4.25,35,4.5,16,0.93,0.83,0.85,4,3
1,NJ,New Jersey,1,Burger King,Central NJ,0,0.8,After,1,1,5.05,44,5.05,16,1.05,0.79,0.9,4,3
2,NJ,New Jersey,1,Burger King,Central NJ,0,0.8,Before,0,0,4.25,16,4.75,14,1.06,0.91,0.96,2,2
2,NJ,New Jersey,1,Burger King,Central NJ,0,0.8,After,1,1,5.05,15.5,5.25,15,1.05,1.01,0.94,2,2
3,NJ,New Jersey,1,KFC,Central NJ,0,0.5,Before,0,0,4.25,15.5,4.25,10,1.06,0.95,3.09,5,3
3,NJ,New Jersey,1,KFC,Central NJ,0,0.5,After,1,1,5.05,10.5,5.05,11,1.05,0.94,2.75,5,3
4,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.5,Before,0,0,4.25,19,4.75,12.5,1.06,1,2.13,8,4
4,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.5,After,1,1,5.05,24,5.05,13.5,1.22,1.37,0.89,6,4
5,NJ,New Jersey,1,Roy Rogers,Central NJ,0,,Before,0,0,4.25,24,4.5,17,0.95,,2.13,5,4
5,NJ,New Jersey,1,Roy Rogers,Central NJ,0,,After,1,1,5.05,29,5.15,17,1.05,0.94,0.94,5,5
6,NJ,New Jersey,1,Roy Rogers,Central NJ,1,1,Before,0,0,4.25,5,5,7,1.2,1.17,2.35,4,2
6,NJ,New Jersey,1,Roy Rogers,Central NJ,1,1,After,1,1,5.05,8,5.05,8,1.11,1.01,2.23,4,2
9,NJ,New Jersey,1,Burger King,Central NJ,0,0.35,Before,0,0,4.25,36,4.37,16,1.04,0.67,0.85,4,4
9,NJ,New Jersey,1,Burger King,Central NJ,0,0.35,After,1,1,5.05,20,5.05,16,1.11,0.92,1.01,4,3
