county_code,taxrate,tax_st_diff_top20
1001,0.011183,0
1003,0.0117563,0
1005,0.012059,0
1007,0.0080066,0
1009,0.0070117,0
1011,0.0080108,0
1013,0.0117492,0
1015,0.0118154,0
1017,0.0084101,0
1019,0.0075383,0
1021,0.0107296,0
1023,0.007187,0
1025,0.0131719,0
1027,0.0056194,0
1029,0.0075371,0
1031,0.010937,0
1033,0.0151311,0
1035,0.0088832,0
1037,0.0067715,0
1039,0.0107795,0
1041,0.0077447,0
1043,0.0104551,0
1045,0.0106949,0
1047,0.0161444,0
1049,0.0104091,0
1051,0.0079915,0
1053,0.0121492,0
1055,0.0173905,0
1057,0.0080264,0
1059,0.0092541,0
1061,0.0077625,0
1063,0.0101747,0
1065,0.0043063,0
1067,0.0069316,0
1069,0.013222,0
1071,0.0094859,0
1073,0.0241656,0
1075,0.0067027,0
1077,0.0122398,0
1079,0.006108,0
1081,0.0154218,0
1083,0.008169,0
1085,0.0071351,0
1087,0.0117677,0
1089,0.017246,0
1091,0.0115118,0
1093,0.0086638,0
1095,0.0136967,0
1097,0.0200759,0
1099,0.006841,0
1101,0.0179881,0
1103,0.0129328,0
1105,0.0109145,0
1107,0.006639,0
1109,0.0107551,0
1111,0.0093696,0
1113,0.0120196,0
1115,0.0081171,0
1117,0.0111243,0
1119,0.0118933,0
1121,0.0130672,0
1123,0.0112037,0
1125,0.0142231,0
1127,0.0119574,0
1129,0.0129939,0
1131,0.0078635,0
1133,0.0079431,0
2013,0.0716291,0
2016,0.0699341,0
2020,0.0180095,0
2050,0.010007,0
2060,0.0543221,0
2070,0.0142793,0
2090,0.01763,0
2100,0.0215706,0
2110,0.025753,0
2122,0.0286323,0
2130,0.0278324,0
2150,0.0172064,0
2164,0.0005319,0
2170,0.0210504,0
2180,0.0148077,0
2185,0.899655,0
2188,0.0747745,0
2201,0.0059789,0
2220,0.0194349,0
2240,0.0001017,0
2261,0.0432725,0
2270,0.0089959,0
2280,0.0178316,0
2290,0.00317,0
4001,0.0298759,1.66
4003,0.0235566,1.66
4005,0.0268327,1.66
4007,0.0278382,1.66
4009,0.0164094,1.66
4011,0.035559,1.66
4012,0.0271674,1.66
4013,0.0231935,1.66
4015,0.0271805,1.66
4017,0.0280395,1.66
4019,0.0236861,1.66
4021,0.0420425,1.66
4023,0.0276768,1.66
4025,0.0260009,1.66
4027,0.0212295,1.66
5001,0.0138239,1
5003,0.0146102,1
5005,0.0126896,1
5007,0.0123177,1
5009,0.0143339,1
5011,0.012569,1
5013,0.015783,1
5015,0.0144904,1
5017,0.0128065,1
5019,0.014884,1
5021,0.0093826,1
5023,0.0123236,1
5025,0.0087769,1
5027,0.0100758,1
5029,0.01148,1
5031,0.0120548,1
5033,0.010286,1
5035,0.01389,1
5037,0.015227,1
5039,0.0118496,1
5041,0.0159762,1
5043,0.0129572,1
5045,0.0111725,1
5047,0.010309,1
5049,0.0086592,1
5051,0.0143325,1
5053,0.0102012,1
5055,0.0086937,1
5057,0.013573,1
5059,0.0147619,1
5061,0.0138313,1
5063,0.0207947,1
5065,0.0100421,1
5067,0.0142444,1
5069,0.0174975,1
5071,0.0106448,1
5073,0.0137564,1
5075,0.0110726,1
5077,0.0145487,1
5079,0.0119525,1
5081,0.0161044,1
5083,0.0078093,1
5085,0.009922,1
5087,0.0101158,1
5089,0.0091881,1
5091,0.0143546,1
5093,0.0132513,1
5095,0.0121771,1
5099,0.0112118,1
5101,0.0100914,1
5103,0.0112897,1
5105,0.0206415,1
5107,0.0175127,1
5109,0.0105449,1
5111,0.0108332,1
5113,0.0118662,1
5115,0.0128949,1
5117,0.0140153,1
5119,0.0195564,1
5121,0.0115872,1
5123,0.0128824,1
5125,0.0088597,1
5127,0.0051691,1
5129,0.0097497,1
5131,0.0170457,1
5133,0.0094211,1
5135,0.0119241,1
5137,0.0113593,1
5139,0.0137438,1
5141,0.0094365,1
5143,0.0192955,1
5145,0.0105393,1
5147,0.0132141,1
5149,0.007699,1
6001,0.0253973,6.3
6003,0.0705114,6.3
6005,0.0242953,6.3
6007,0.0172203,6.3
6009,0.0211556,6.3
6011,0.0286466,6.3
6013,0.0185665,6.3
6015,0.0154993,6.3
6017,0.0212192,6.3
6019,0.0203092,6.3
6021,0.0206394,6.3
6023,0.0182279,6.3
6025,0.0253895,6.3
6027,0.0437949,6.3
6029,0.0277015,6.3
6031,0.0215252,6.3
6033,0.0188341,6.3
6035,0.0200739,6.3
6037,0.0251053,6.3
6039,0.0198536,6.3
6041,0.0163821,6.3
6043,0.0311811,6.3
6045,0.0210239,6.3
6047,0.0173056,6.3
6049,0.022801,6.3
6051,0.0570461,6.3
6053,0.0215207,6.3
6055,0.0204852,6.3
6057,0.0163732,6.3
6059,0.0208975,6.3
6061,0.0222398,6.3
6063,0.0299631,6.3
6065,0.0209786,6.3
6067,0.019428,6.3
6069,0.0186274,6.3
6071,0.0193992,6.3
6073,0.0194946,6.3
6075,0.0340378,6.3
6077,0.0195843,6.3
6079,0.0261946,6.3
6081,0.0194082,6.3
6083,0.0201828,6.3
6085,0.0245425,6.3
6087,0.0195685,6.3
6089,0.0203192,6.3
6091,0.0288588,6.3
6093,0.0182667,6.3
6095,0.0188098,6.3
6097,0.0196341,6.3
6099,0.0194629,6.3
6101,0.0190195,6.3
6103,0.0164378,6.3
6105,0.0166705,6.3
6107,0.0168843,6.3
6109,0.0204753,6.3
6111,0.0188411,6.3
6113,0.0215836,6.3
6115,0.0222205,6.3
8001,0.0282529,0
8003,0.02791,0
8005,0.0295537,0
8007,0.0493398,0
8009,0.0405289,0
8011,0.0239179,0
8013,0.0286558,0
8015,0.0242539,0
8017,0.0631475,0
8019,0.0420478,0
8021,0.0228349,0
8023,0.0582491,0
8025,0.0410508,0
8027,0.032604,0
8029,0.0209311,0
8031,0.0424805,0
8033,0.0348627,0
8035,0.023659,0
8037,0.0826143,0
8039,0.0237514,0
8041,0.02393,0
8043,0.0229417,0
8045,0.0338435,0
8047,0.0326982,0
8049,0.0817537,0
8051,0.0527745,0
8053,0.0808321,0
8055,0.0793714,0
8057,0.0409625,0
8059,0.0217992,0
8061,0.0572436,0
8063,0.0326104,0
8065,0.1461817,0
8067,0.0393118,0
8069,0.0277762,0
8071,0.0245025,0
8073,0.0350965,0
8075,0.0325618,0
8077,0.0266826,0
8079,0.0421533,0
8081,0.0618785,0
8083,0.0348879,0
8085,0.0222167,0
8087,0.0343414,0
8089,0.0190696,0
8091,0.0361434,0
8093,0.042171,0
8095,0.0311187,0
8097,0.0574804,0
8099,0.0287844,0
8101,0.0280786,0
8103,0.0947563,0
8105,0.0332241,0
8107,0.0598386,0
8109,0.0282777,0
8111,0.0598389,0
8113,0.0902779,0
8115,0.0335026,0
8117,0.0985891,0
8119,0.0305846,0
8121,0.0460407,0
8123,0.0300435,0
8125,0.0334957,0
9001,0.0257445,0
9003,0.029134,0
9005,0.0236202,0
9007,0.0272507,0
9009,0.026004,0
9011,0.0280029,0
9013,0.0227201,0
9015,0.0204047,0
10001,0.0075645,0.75
10003,0.0117536,0.75
10005,0.0110825,0.75
11001,0.0961839,2.5
12001,0.0220094,0
12003,0.0136837,0
12005,0.0208817,0
12007,0.0126975,0
12009,0.0186026,0
12011,0.0253202,0
12013,0.0104561,0
12015,0.0207129,0
12017,0.0199785,0
12019,0.0145306,0
12021,0.0244171,0
12023,0.0161701,0
12025,0.0287962,0
12027,0.0204911,0
12029,0.0198277,0
12031,0.0215834,0
12033,0.0151736,0
12035,0.0253892,0
12037,0.026855,0
12039,0.0116307,0
12041,0.0165587,0
12043,0.0319895,0
